image_base,x,y,rgb_tile,label_tile,dtm_tile,positive_fraction,positive_count
64953,0,0,64953_x00000_y00000.png,64953_x00000_y00000.png,64953_x00000_y00000.tif,0.0,0
64953,512,0,64953_x00512_y00000.png,64953_x00512_y00000.png,64953_x00512_y00000.tif,0.0,0
64953,1024,0,64953_x01024_y00000.png,64953_x01024_y00000.png,64953_x01024_y00000.tif,0.0,0
64953,1536,0,64953_x01536_y00000.png,64953_x01536_y00000.png,64953_x01536_y00000.tif,0.0,0
64953,2048,0,64953_x02048_y00000.png,64953_x02048_y00000.png,64953_x02048_y00000.tif,0.0,0
64953,2560,0,64953_x02560_y00000.png,64953_x02560_y00000.png,64953_x02560_y00000.tif,0.0,0
64953,3072,0,64953_x03072_y00000.png,64953_x03072_y00000.png,64953_x03072_y00000.tif,0.0,0
64953,3584,0,64953_x03584_y00000.png,64953_x03584_y00000.png,64953_x03584_y00000.tif,0.0,0
64953,4096,0,64953_x04096_y00000.png,64953_x04096_y00000.png,64953_x04096_y00000.tif,0.0,0
64953,0,512,64953_x00000_y00512.png,64953_x00000_y00512.png,64953_x00000_y00512.tif,0.0,0
64953,512,512,64953_x00512_y00512.png,64953_x00512_y00512.png,64953_x00512_y00512.tif,0.0,0
64953,1024,512,64953_x01024_y00512.png,64953_x01024_y00512.png,64953_x01024_y00512.tif,0.0,0
64953,1536,512,64953_x01536_y00512.png,64953_x01536_y00512.png,64953_x01536_y00512.tif,0.0,0
64953,2048,512,64953_x02048_y00512.png,64953_x02048_y00512.png,64953_x02048_y00512.tif,0.0,0
64953,2560,512,64953_x02560_y00512.png,64953_x02560_y00512.png,64953_x02560_y00512.tif,0.0,0
64953,3072,512,64953_x03072_y00512.png,64953_x03072_y00512.png,64953_x03072_y00512.tif,0.0,0
64953,3584,512,64953_x03584_y00512.png,64953_x03584_y00512.png,64953_x03584_y00512.tif,0.0,0
64953,4096,512,64953_x04096_y00512.png,64953_x04096_y00512.png,64953_x04096_y00512.tif,0.0,0
64953,0,1024,64953_x00000_y01024.png,64953_x00000_y01024.png,64953_x00000_y01024.tif,0.0,0
64953,512,1024,64953_x00512_y01024.png,64953_x00512_y01024.png,64953_x00512_y01024.tif,0.0,0
64953,1024,1024,64953_x01024_y01024.png,64953_x01024_y01024.png,64953_x01024_y01024.tif,0.0,0
64953,1536,1024,64953_x01536_y01024.png,64953_x01536_y01024.png,64953_x01536_y01024.tif,0.0,0
64953,2048,1024,64953_x02048_y01024.png,64953_x02048_y01024.png,64953_x02048_y01024.tif,0.0,0
64953,2560,1024,64953_x02560_y01024.png,64953_x02560_y01024.png,64953_x02560_y01024.tif,0.0,0
64953,3072,1024,64953_x03072_y01024.png,64953_x03072_y01024.png,64953_x03072_y01024.tif,0.0,0
64953,3584,1024,64953_x03584_y01024.png,64953_x03584_y01024.png,64953_x03584_y01024.tif,0.0,0
64953,4096,1024,64953_x04096_y01024.png,64953_x04096_y01024.png,64953_x04096_y01024.tif,0.0,0
64953,0,1536,64953_x00000_y01536.png,64953_x00000_y01536.png,64953_x00000_y01536.tif,0.0,0
64953,512,1536,64953_x00512_y01536.png,64953_x00512_y01536.png,64953_x00512_y01536.tif,0.0,0
